B 9 7 8 1 5 E 4 3 2 6 A D F C 0 
0 E 4 1 3 7 D 6 8 C 9 F A B 5 2 
A D F 6 C 2 8 B 0 5 1 4 3 7 9 E 
3 C 5 2 A 0 9 F D 7 E B 1 4 6 8 
C 4 6 A B 8 2 1 5 E 0 7 9 3 F D 
8 2 E 3 7 C 0 A 6 9 F D B 5 1 4 
9 F 0 7 4 E 5 D C 3 B 1 2 A 8 6 
5 1 B D 6 F 3 9 2 4 A 8 C E 0 7 
E 8 9 F 2 1 4 7 B A C 3 6 0 D 5 
4 7 D B 5 3 6 C 1 8 2 0 F 9 E A 
2 3 A 0 9 D F E 4 6 7 5 8 1 B C 
6 5 1 C 8 A B 0 9 F D E 7 2 4 3 
7 A 8 9 D B 1 2 E 0 5 C 4 6 3 F 
D B C E F 4 7 5 A 1 3 6 0 8 2 9 
1 0 2 4 E 6 A 3 F D 8 9 5 C 7 B 
F 6 3 5 0 9 C 8 7 B 4 2 E D A 1 
